Date,Category,Item,Task,Task Duration (minutes)
2025-06-25,第二类,思考,当死亡降临自身,10
2025-06-25,第二类,折腾,n8n,240
2025-06-25,第二类,折腾,联机网络监控,80
2025-06-25,第二类,折腾,浏览器插件开发,98
2025-06-25,第二类,冲浪,小黑盒,6
2025-06-25,第二类,冲浪,QQ群,20
2025-06-25,娱乐,小说,惊涛落日,24
2025-06-25,娱乐,小说,大明五百年,86
2025-06-25,娱乐,游戏,夜宵杯,45
2025-06-25,娱乐,联系,前方高能,98
2025-06-25,杂项,日常,琐事,34
2025-06-25,杂项,工程,琐事,2
2025-06-25,杂项,工程,n8n生产环境,167
2025-06-25,杂项,工程,pinpro,15
2025-06-25,杂项,工程,买服务器,12
2025-06-24,第一类,学习,日语,28
2025-06-24,第二类,折腾,discord上位,54
2025-06-24,第二类,折腾,n8n,400
2025-06-24,第二类,锻炼,节奏光剑,45
2025-06-24,第二类,博物,书生杀白狐,24
2025-06-24,娱乐,小说,惊涛落日,56
2025-06-24,娱乐,游戏,前方高能,112
2025-06-24,杂项,日常,琐事,64
2025-06-24,杂项,日常,涩涩,35
2025-06-24,杂项,日常,睡觉,49
2025-06-24,杂项,日常,聊天,47
2025-06-24,杂项,工程,琐事,18
2025-06-23,第二类,思考,discord博客上位,14
2025-06-23,第二类,折腾,discord进化,12
2025-06-23,第二类,锻炼,节奏光剑,54
2025-06-23,根源,小说,惊涛落日,25
2025-06-23,根源,漫画,灵异事件唯物者,58
2025-06-23,娱乐,小说,天灾信使,43
2025-06-23,娱乐,游戏,er联赛,22
2025-06-23,娱乐,联系,前方高能,205
2025-06-23,杂项,日常,琐事,75
2025-06-23,杂项,日常,睡觉,44
2025-06-23,杂项,工程,琐事,27
2025-06-23,杂项,工程,Linux复习,16
2025-06-23,杂项,工程,linux考试,56
2025-06-23,杂项,工程,anx,86
2025-06-23,杂项,工程,柳比歇夫完善,13
2025-06-23,杂项,工程,git仓库整理,60
2025-06-22,第一类,学习,uni开发,30
2025-06-22,第一类,学习,日语,50
2025-06-22,第二类,思考,wiki上位,14
2025-06-22,第二类,锻炼,节奏光剑,75
2025-06-22,第二类,博物,3a涨价潮,40
2025-06-22,娱乐,小说,天灾信使,79
2025-06-22,娱乐,游戏,前方高能,109
2025-06-22,娱乐,游戏,er联赛,25
2025-06-22,娱乐,漫画,收集,20
2025-06-22,杂项,日常,琐事,39
2025-06-22,杂项,日常,聊天,50
2025-06-22,杂项,日常,涩涩,30
2025-06-22,杂项,工程,琐事 作业,59
2025-06-22,杂项,工程,联机游戏情报,60
2025-06-22,杂项,工程,linux复习,183
2025-06-21,第一类,学习,flutter项目,43
2025-06-21,第二类,思考,bestofoneheart,10
2025-06-21,第二类,折腾,uniapp开发,6
2025-06-21,第二类,锻炼,节奏光剑,143
2025-06-21,第二类,冲浪,僵尸毁灭工程,19
2025-06-21,根源,小说,末日供应商,56
2025-06-21,根源,小说,三塔游戏,43
2025-06-21,根源,漫画,虽然我是不完美恶女,107
2025-06-21,根源,冲浪,YouTube,4
2025-06-21,娱乐,游戏,er,156
2025-06-21,娱乐,游戏,er联赛,56
2025-06-21,杂项,日常,琐事,19
2025-06-21,杂项,日常,放松,9
2025-06-21,杂项,日常,睡觉,55
2025-06-21,杂项,工程,琐事,3
2025-06-21,杂项,工程,作业,91
2025-06-21,杂项,工程,找到anxreader,25
2025-06-20,第二类,思考,梦,19
2025-06-20,第二类,思考,柳比歇夫,3
2025-06-20,第二类,锻炼,节奏光剑,93
2025-06-20,第二类,冲浪,topsub,4
2025-06-20,根源,小说,三塔游戏,23
2025-06-20,根源,小说,末日生存方案,140
2025-06-20,娱乐,小说,美服,64
2025-06-20,娱乐,游戏,er,330
2025-06-20,娱乐,游戏,er联赛,22
2025-06-20,杂项,日常,琐事,35
2025-06-20,杂项,日常,放松,12
2025-06-20,杂项,工程,琐事,17
2025-06-20,杂项,工程,节奏光剑mod,129
2025-06-19,第二类,折腾,节奏光剑选曲,67
2025-06-19,第二类,锻炼,节奏光剑,42
2025-06-19,第二类,冲浪,b站冲浪,20
2025-06-19,第二类,博物,锈根工作室,30
2025-06-19,根源,演出,红丝绒,233
2025-06-19,根源,演出,复乐园,7
2025-06-19,根源,游戏,潜渊症,123
2025-06-19,根源,小说,惊涛落日,44
2025-06-19,娱乐,小说,哈基黑,48
2025-06-19,娱乐,游戏,er,192
2025-06-19,娱乐,游戏,er联赛,29
2025-06-19,娱乐,冲浪,1999,15
2025-06-19,杂项,日常,琐事,31
2025-06-19,杂项,工程,琐事,5
2025-06-18,第二类,折腾,柳比歇夫日结可视化,361
2025-06-18,第二类,锻炼,节奏光剑,59
2025-06-18,第二类,冲浪,小黑盒,13
2025-06-18,第二类,博物,丝之歌为何不发售,22
2025-06-18,根源,游戏,潜渊症,47
2025-06-18,娱乐,小说,惊涛落日,4
2025-06-18,娱乐,游戏,er,160
2025-06-18,娱乐,游戏,卢岛食堂,37
2025-06-18,杂项,日常,琐事,40
2025-06-18,杂项,日常,睡觉,47
